id,lat,lon,type,destination:ref,exit_to,name,destination,destination:street,ref,junction:ref
21478645,34.1152994,-118.2685532,node,,,Unnamed Exit,,,140B,
21490199,34.1215755,-118.2715884,node,,,Unnamed Exit,,,141B,
21569368,34.0882714,-118.304762,node,,,Unnamed Exit,,,7,
21703066,34.227095,-118.3835771,node,,,Unnamed Exit,,,,
21703085,34.1749933,-118.3928099,node,,,Unnamed Exit,,,7,
21703087,34.1688796,-118.3848686,node,,,Unnamed Exit,,,6B,
24912473,34.2104095,-118.346308,node,,,Unnamed Exit,,,149,
24960494,34.0255815,-118.4289034,node,,,Unnamed Exit,,,53B,
24960503,34.1080794,-118.2587401,node,,,Unnamed Exit,,,140A,
24970607,34.1035387,-118.1918556,node,,,Unnamed Exit,,,28B,
25266664,33.7798684,-118.0900368,node,,,Unnamed Exit,,,24,
25266693,34.0511389,-118.005945,node,,,Unnamed Exit,,,21,
25266704,34.0654217,-117.9999009,node,,,Unnamed Exit,,,,
25266721,34.0684278,-118.0383071,node,,,Unnamed Exit,,,28,
25274550,34.1010223,-118.24879,node,,,Unnamed Exit,,,138,
25457926,36.9998295,-121.5558922,node,,,Unnamed Exit,,,356,
25464338,34.1055455,-118.254328,node,,,Unnamed Exit,,,,
25510417,33.9296248,-118.3682698,node,,,Unnamed Exit,,,46,
25522147,33.7330299,-117.8340239,node,,,Unnamed Exit,,,10,
25583729,34.1236951,-118.2730731,node,,,Unnamed Exit,,,,
25583730,34.120143,-118.2712901,node,,,Unnamed Exit,,,,
25678982,34.044751,-118.1700117,node,,,Unnamed Exit,,,20B,
25679008,34.0412573,-118.0598467,node,,,Unnamed Exit,,,10A,
25679032,33.9941675,-117.909619,node,,,Unnamed Exit,,,19,
25679036,34.0009978,-117.841938,node,,,Unnamed Exit,,,24A,
25726911,34.2219186,-118.362812,node,,,Unnamed Exit,,,150B,
25903392,33.9301609,-118.3695603,node,,,Unnamed Exit,,,2A,
25903957,34.1893818,-118.3240798,node,,,Unnamed Exit,,,147B,
25954603,34.1072667,-118.1867412,node,,,Unnamed Exit,,,29,
26028045,37.3954537,-122.0686987,node,,,Unnamed Exit,,,23,
26028109,37.4085725,-122.0692403,node,,,Unnamed Exit,,,399A,
26028114,37.4196342,-122.090243,node,,,Unnamed Exit,,,400B;400A,
26028129,37.4819548,-122.177346,node,,,Unnamed Exit,,,406,
